sku,cat,brand,model,model_no,variant,color,color_hex,cost_cny,kg,moq,source_platform,source_url,supplier,cost_verified,blurb_so,image,price_usd,moq_unit,specs,captured,search
GRS-SOL-20001,SOL,Generic,400W/500W/550W PV Module Mono After Sales Service Bright as Trina Solar Cell,BR-M550W,Standard,—,,972.0,50.0,100,mic,https://light1978.en.made-in-china.com/product/lJBRakHcOUhI/China-400W-500W-550W-PV-Module-Mono-China-After-Sales-Service-Bright-as-Trina-Solar-Cell-Price-Energy-Suppliers-Panel.html,"Yangzhou Bright Solar Solutions Co., Ltd.",check,"Panel solar mono ah oo awood sare leh — guryaha, dukaamada iyo beeraha.",https://image.made-in-china.com/2f0j00SRlMbwzyiOkJ/400W-500W-550W-PV-Module-Mono-China-After-Sales-Service-Bright-as-Trina-Solar-Cell-Price-Energy-Suppliers-Panel.webp,120.0-135.0,pieces,"Number of Cells: 144 | Application: Industrial | Condition: New | Certification: ISO, CE | Material: Monocrystalline Silicon | Panel Power: 550W",2026-09-20,Solar Panel 550W
GRS-SOL-20002,SOL,Generic,Sunplus 550W TUV Certified Solar Panel From EU Stock with Fast DDP Delivery,LOCARDoJnBfF,Standard,—,,547.2,32.2,36,mic,https://wesunplus.en.made-in-china.com/product/LOCARDoJnBfF/China-Sunplus-550W-TUV-Certified-Solar-Panel-From-EU-Stock-with-Fast-DDP-Delivery-to-You.html,SUNPLUS OPTIMUM INC,check,"Panel solar mono ah oo awood sare leh — guryaha, dukaamada iyo beeraha.",https://image.made-in-china.com/2f0j00TyvhElRPOBfo/Sunplus-550W-TUV-Certified-Solar-Panel-From-EU-Stock-with-Fast-DDP-Delivery-to-You.webp,70.0-76.0,piece,,2026-09-20,Solar Panel 550W
GRS-SOL-20003,SOL,GSL ENERGY,3.6kw 5kw 8kw off Grid Inverter for Home Use Solar Wind Power System on Grid,GSL-H-3.6K-EU-022,Standard,—,,5616.0,15,1,mic,https://powerwall.en.made-in-china.com/product/rwGtmXRHHikF/China-Fctory-Price-3-6kw-5kw-8kw-off-Grid-Inverter-for-Home-Use-Solar-Wind-Power-System-on-Grid-Hybrid-Solar-Inverter.html,"Shenzhen GSL Energy Co., Ltd.",check,"Inverter hybrid ah — solar, batari iyo koronto isku mar.",https://image.made-in-china.com/2f0j00LcIlbCPrgpUF/Fctory-Price-3-6kw-5kw-8kw-off-Grid-Inverter-for-Home-Use-Solar-Wind-Power-System-on-Grid-Hybrid-Solar-Inverter.webp,734.0-780.0,pieces,"Certification: CCC, ISO9001, RoHS, CE, SAA, SGS | Output Power: >1000W | Output Type: Multiple | Circuit Topologies: Full-Bridge Type | Nature of Wave String: Sine Wave Inverter | Type: DC/AC Inverters",2026-09-20,Hybrid Solar Inverter 5kw
GRS-SOL-20004,SOL,Generic,Solis Single Split Phase 3.8kw 5kw 7.6kw 11kw Hybrid Solar Power Inverter,hdwGrgsjLqtP,Standard,—,,10713.6,50.0,1,mic,https://dahsolar.en.made-in-china.com/product/hdwGrgsjLqtP/China-Factory-Price-Solis-Single-Split-Phase-3-8kw-5kw-7-6kw-11kw-Hybrid-Solar-Power-Inverter.html,"DAH Solar Co., Ltd.",check,"Inverter hybrid ah — solar, batari iyo koronto isku mar.",https://image.made-in-china.com/2f0j00eSUhmnPEMwYO/Factory-Price-Solis-Single-Split-Phase-3-8kw-5kw-7-6kw-11kw-Hybrid-Solar-Power-Inverter.webp,1419.0-1488.0,pieces,,2026-09-20,Hybrid Solar Inverter 5kw
GRS-SOL-20005,SOL,Generic,3kw 5kw 6kw Hybrid Solar Inverters on off Grid Parallel Power Inverter,uGFrhHAlsfUo,Standard,—,,1821.6,50.0,1,mic,https://fs-snat.en.made-in-china.com/product/uGFrhHAlsfUo/China-3kw-5kw-6kw-Hybrid-Solar-Inverters-on-off-Grid-Parallel-Power-Inverter.html,"Foshan Snat Energy Electrical Technology Co., Ltd.",check,"Inverter hybrid ah — solar, batari iyo koronto isku mar.",https://image.made-in-china.com/2f0j00BJQVTRhtqAYf/3kw-5kw-6kw-Hybrid-Solar-Inverters-on-off-Grid-Parallel-Power-Inverter.webp,232.0-253.0,pieces,,2026-09-20,Hybrid Solar Inverter 5kw
GRS-SOL-20006,SOL,SNADI,3kw 5kw 6kw Split Phase Inverter 110V/220V Hybrid Solar Power Inverter 48V,AS-IP54,Standard,—,,1951.2,100.0,1,mic,https://fs-snat.en.made-in-china.com/product/ufOrTlAdsGUV/China-3kw-5kw-6kw-Split-Phase-Inverter-110V-220V-Hybrid-Solar-Power-Inverter-48V.html,"Foshan Snat Energy Electrical Technology Co., Ltd.",check,"Inverter hybrid ah — solar, batari iyo koronto isku mar.",https://image.made-in-china.com/2f0j00NyeocIHhrMrz/3kw-5kw-6kw-Split-Phase-Inverter-110V-220V-Hybrid-Solar-Power-Inverter-48V.webp,243.0-271.0,pieces,"Phase: Single | Output Power: >1000W | Certification: SAA, CE, ROHS, ISO9001, CCC | Brand: Snadi | Type: DC/AC Inverters | Power Source: Solar Power",2026-09-20,Hybrid Solar Inverter 5kw
GRS-SOL-20007,SOL,Generic,5kw 10kw 12kw Hybrid Solar Inverter 6kw IP54 Solar Power Inverter 48V,JTAYMrLUWipR,Standard,—,,1980.0,100.0,1,mic,https://fs-snat.en.made-in-china.com/product/JTAYMrLUWipR/China-5kw-10kw-12kw-Hybrid-Solar-Inverter-6kw-IP54-Solar-Power-Inverter-48V.html,"Foshan Snat Energy Electrical Technology Co., Ltd.",check,"Inverter hybrid ah — solar, batari iyo koronto isku mar.",https://image.made-in-china.com/2f0j00JTregOosgtuU/5kw-10kw-12kw-Hybrid-Solar-Inverter-6kw-IP54-Solar-Power-Inverter-48V.webp,252.0-275.0,pieces,,2026-09-20,Hybrid Solar Inverter 5kw
GRS-SOL-20008,SOL,Generic,DC to AC Solar Inverter 3kw 3000W Single Phase Hybrid Inverter 48V 97.6% High,zUErbOXGbphZ,Standard,—,,4320.0,33.0,1,mic,https://chisagess.en.made-in-china.com/product/zUErbOXGbphZ/China-DC-to-AC-Solar-Inverter-3kw-3000W-Single-Phase-Hybrid-Inverter-48V-97-6-High-Efficiency-Home-Inverter.html,"Zhejiang Chisage New Energy Technology Co., Ltd.",check,Inverter hybrid ah oo guri dhexdhexaad ah ku filan.,https://image.made-in-china.com/2f0j00VkNvrZjdpioc/DC-to-AC-Solar-Inverter-3kw-3000W-Single-Phase-Hybrid-Inverter-48V-97-6-High-Efficiency-Home-Inverter.webp,600.0-600.0,piece,,2026-09-20,Hybrid Solar Inverter 3kw
GRS-SOL-20009,SOL,Generic,3kw 5kw 6kw off Grid Power Hybrid Solar Inverter with MPPT Controller,FmxpZsyEfjWI,Standard,—,,1080.0,10.5,1,mic,https://fs-snat.en.made-in-china.com/product/FmxpZsyEfjWI/China-3kw-5kw-6kw-off-Grid-Power-Hybrid-Solar-Inverter-with-MPPT-Controller.html,"Foshan Snat Energy Electrical Technology Co., Ltd.",check,Inverter hybrid ah oo guri dhexdhexaad ah ku filan.,https://image.made-in-china.com/2f0j00EmQhefLChdYk/3kw-5kw-6kw-off-Grid-Power-Hybrid-Solar-Inverter-with-MPPT-Controller.webp,139.0-150.0,pieces,,2026-09-20,Hybrid Solar Inverter 3kw
GRS-SOL-20010,SOL,Generic,Deye Hybrid Solar Power Inverter 3kw 3.6kw 5kw 6kw Solar Inverter IP65,FtIRDvxbnKch,Standard,—,,4960.8,11,1,mic,https://sunark.en.made-in-china.com/product/FtIRDvxbnKch/China-Deye-Hybrid-Solar-Power-Inverter-3kw-3-6kw-5kw-6kw-Solar-Inverter-IP65-Protection-Degree.html,"SunArk Power Co., Ltd.",check,Inverter hybrid ah oo guri dhexdhexaad ah ku filan.,https://image.made-in-china.com/2f0j00mrteiLTaJHcZ/Deye-Hybrid-Solar-Power-Inverter-3kw-3-6kw-5kw-6kw-Solar-Inverter-IP65-Protection-Degree.webp,559.0-689.0,pieces,,2026-09-20,Hybrid Solar Inverter 3kw
